ID	type	size	answer
1	uint	32	233168
2	uint	32	4613732
3	uint	16	6857
4	uint	32	906609
5	uint	32	232792560
6	uint	32	25164150
7	uint	32	104743
8	uint	64	23514624000
9	uint	32	31875000
10	uint	64	142913828922
11	uint	32	70600674
12	uint	32	76576500
13	uint	64	5537376230
14	uint	32	837799
15	uint	64	137846528820
16	uint	16	1366
17	uint	16	21124
18	uint	16	1074
19	uint	8	171
20	uint	16	648
21	uint	16	31626
22	uint	32	871198282
23	uint	32	4179871
24	uint	32	2783915460
25	uint	16	4782
27	int	32	-59231
28	uint	32	669171001
29	uint	16	9183
30	uint	32	443839
31	uint	32	73682
32	uint	16	45228
33	uint	8	100
34	uint	16	40730
35	uint	8	55
36	uint	32	872187
37	uint	32	748317
38	uint	32	932718654
39	uint	16	840
40	uint	8	210
41	uint	32	7652413
42	uint	8	162
43	uint	64	16695334890
44	uint	32	5482660
45	uint	32	1533776805
46	uint	16	5777
47	uint	32	134043
48	uint	64	9110846700
49	uint	64	296962999629
50	uint	32	997651
52	uint	32	142857
53	uint	16	4075
55	uint	8	249
56	uint	16	972
57	uint	8	153
58	uint	16	26241
59	uint	32	107359
60	uint	16	26033
63	uint	8	49
67	uint	16	7273
69	uint	32	510510
71	uint	32	428570
73	uint	32	7295372
74	uint	16	402
76	uint	32	190569291
77	uint	8	71
81	uint	32	427337
87	uint	32	1097343
89	uint	16	743
92	uint	32	8581146
97	uint	64	8739992577
99	uint	16	709
118	uint	16	44680
123	uint	16	21035
134	uint	64	18613426663617118
145	uint	32	608720
187	uint	32	17427258
206	uint	32	1389019170
357	uint	64	1739023853137
836	str	14	aprilfoolsjoke
