ID	type	size	answer
1	int	32	233168
2	int	32	4613732
3	int	16	6857
4	int	32	906609
5	int	32	232792560
6	int	32	25164150
7	int	32	104743
8	int	64	23514624000
9	int	32	31875000
10	int	64	142913828922
11	int	32	70600674
12	int	32	76576500
13	int	64	5537376230
14	int	32	837799
15	int	64	137846528820
16	int	16	1366
17	int	16	21124
18	int	16	1074
19	uint	8	171
20	int	16	648
21	int	16	31626
22	int	32	871198282
23	int	32	4179871
24	uint	32	2783915460
25	int	16	4782
27	int	32	-59231
28	int	32	669171001
29	int	16	9183
30	int	32	443839
31	int	32	73682
32	uint	16	45228
33	int	8	100
34	uint	16	40730
35	int	8	55
36	int	32	872187
37	int	32	748317
38	int	32	932718654
39	int	16	840
40	uint	8	210
41	int	32	7652413
42	uint	8	162
43	int	64	16695334890
44	int	32	5482660
45	int	32	1533776805
46	int	16	5777
47	int	32	134043
48	int	64	9110846700
49	int	64	296962999629
50	int	32	997651
52	int	32	142857
53	int	16	4075
55	uint	8	249
56	int	16	972
57	uint	8	153
58	int	16	26241
59	int	32	107359
60	int	16	26033
63	int	8	49
67	int	16	7273
69	int	32	510510
70	int	64	8319823
71	int	32	428570
73	int	32	7295372
74	int	16	402
76	int	32	190569291
77	int	8	71
81	int	32	427337
87	int	32	1097343
89	int	16	743
92	int	32	8581146
97	int	64	8739992577
99	int	16	709
118	uint	16	44680
123	int	16	21035
134	int	64	18613426663617118
145	int	32	608720
187	int	32	17427258
206	int	32	1389019170
357	int	64	1739023853137
836	str	14	aprilfoolsjoke
